e2_seed_id,source_table,source_row_id,title,source_url,artifact_url,observed_public_files,stratum,seed_status,first_freeze_blocker,needs_external_source_check,target_gate,split_gate,evidence_gate,metric_gate,boundary_gate,delta_gate
E2S-019,artifact_corpus_v1.csv,v1-08,Trajectory Generation Privacy,docs/evidence/trajectory-generation-privacy-artifact-gate-20260523.md,arXiv 2605.15246v1; paper tables only,cross-domain paper source,metadata-only-no-artifact,weak_seed_only,most gates fail: target_gate;split_gate;evidence_gate;metric_gate;boundary_gate,1,Fail,Fail,Fail,Fail,Fail,Pass
E2S-020,artifact_corpus_v1.csv,v1-09,Model Will Tell / DRC,docs/evidence/model-will-tell-drc-artifact-gate-20260523.md,arXiv 2403.08487v1; no official code found,paper source and metadata,metadata-only-no-artifact,needs_artifact_followup,missing score/response or metric surface,1,Partial,Fail,Fail,Fail,Partial,Pass
E2S-021,artifact_corpus_v1.csv,v1-10,Discrete DLM withdrawn paper,docs/evidence/discrete-dlm-withdrawn-artifact-gate-20260523.md,arXiv 2605.16445v2 withdrawn; no PDF or official code,withdrawn paper metadata,withdrawn-no-artifact,weak_seed_only,most gates fail: target_gate;split_gate;evidence_gate;metric_gate;boundary_gate;delta_gate,1,Fail,Fail,Fail,Fail,Fail,Fail
E2S-022,artifact_corpus_fixed_search_20260526.csv,fs20260526-github-01,ronketer/diffusion-membership-inference,https://github.com/ronketer/diffusion-membership-inference,https://github.com/ronketer/diffusion-membership-inference,notebooks; README; report media; private Colab/GDrive target paths noted in existing gate,included_existing_gate,candidate_for_freeze_review,eligible for E2 blind freeze review,0,Fail,Fail,Partial,Partial,Partial,Partial
E2S-023,artifact_corpus_fixed_search_20260526.csv,fs20260526-github-02,fseclab-osaka/mia-diffusion,https://github.com/fseclab-osaka/mia-diffusion,https://github.com/fseclab-osaka/mia-diffusion,DDIM/DCGAN code; attack scripts; deterministic runtime split construction; FID stats; no checkpoint-bound score packet,included_existing_gate,needs_artifact_followup,missing score/response or metric surface,0,Fail,Partial,Fail,Fail,Partial,Pass
E2S-024,artifact_corpus_fixed_search_20260526.csv,fs20260526-github-03,Divya1201/diffusion-privacy-attacks,https://github.com/Divya1201/diffusion-privacy-attacks,https://github.com/Divya1201/diffusion-privacy-attacks,README; scripts/download_laion_subset.py; scripts/generate.py; scripts/run_attack.py; scripts/run_attack_dp.py; src attack/evaluation modules; no committed score or manifest packet,included_new_metadata,weak_seed_only,most gates fail: target_gate;split_gate;evidence_gate;metric_gate;boundary_gate,0,Fail,Fail,Fail,Fail,Fail,Pass
E2S-025,artifact_corpus_fixed_search_20260526.csv,fs20260526-github-04,no direct GitHub repository hit in fixed query,n/a,n/a,empty result set,excluded_no_result,exclude_no_public_source,missing public source,0,Fail,Fail,Fail,Fail,Fail,Fail
E2S-026,artifact_corpus_fixed_search_20260526.csv,fs20260526-github-05,no direct GitHub repository hit in fixed query,n/a,n/a,empty result set,excluded_no_result,exclude_no_public_source,missing public source,0,Fail,Fail,Fail,Fail,Fail,Fail
E2S-027,artifact_corpus_fixed_search_20260526.csv,fs20260526-github-06,no direct GitHub repository hit in fixed query,n/a,n/a,empty result set,excluded_no_result,exclude_no_public_source,missing public source,0,Fail,Fail,Fail,Fail,Fail,Fail
E2S-028,artifact_corpus_fixed_search_20260526.csv,fs20260526-github-07,no direct GitHub repository hit in fixed query,n/a,n/a,empty result set,excluded_no_result,exclude_no_public_source,missing public source,0,Fail,Fail,Fail,Fail,Fail,Fail
E2S-029,artifact_corpus_fixed_search_20260526.csv,fs20260526-arxiv-01,Membership Inference Attacks against Diffusion Models,https://arxiv.org/abs/2302.03262,https://github.com/fseclab-osaka/mia-diffusion,same line as fs20260526-github-02; official code but no frozen replay packet,included_existing_gate,needs_artifact_followup,missing score/response or metric surface,0,Fail,Partial,Fail,Fail,Partial,Pass
E2S-030,artifact_corpus_fixed_search_20260526.csv,fs20260526-arxiv-02,Towards More Realistic Membership Inference Attacks on Large Diffusion Models,https://arxiv.org/abs/2306.12983,n/a,arXiv metadata only in this batch,included_metadata_only,needs_artifact_followup,missing score/response or metric surface,0,Partial,Fail,Fail,Fail,Partial,Pass
E2S-031,artifact_corpus_fixed_search_20260526.csv,fs20260526-arxiv-03,Noise Aggregation Analysis Driven by Small-Noise Injection: Efficient Membership Inference for Diffusion Models,https://arxiv.org/abs/2510.21783,n/a,arXiv metadata only in this batch,included_existing_watch,weak_seed_only,most gates fail: target_gate;split_gate;evidence_gate;metric_gate,0,Fail,Fail,Fail,Fail,Partial,Pass
E2S-032,artifact_corpus_fixed_search_20260526.csv,fs20260526-arxiv-04,Membership Inference of Diffusion Models,https://arxiv.org/abs/2301.09956,n/a,arXiv metadata only in this batch,included_metadata_only,needs_artifact_followup,missing score/response or metric surface,0,Partial,Fail,Fail,Fail,Partial,Pass
E2S-033,artifact_corpus_fixed_search_20260526.csv,fs20260526-arxiv-05,Are Diffusion Models Vulnerable to Membership Inference Attacks?,https://arxiv.org/abs/2302.01316,n/a,arXiv metadata only in this batch,included_metadata_only,needs_artifact_followup,missing score/response or metric surface,0,Partial,Fail,Fail,Fail,Partial,Pass
E2S-034,artifact_corpus_fixed_search_20260526.csv,fs20260526-arxiv-06,Enhancing Privacy-Utility Trade-offs to Mitigate Memorization in Diffusion Models,https://arxiv.org/abs/2504.18032,n/a,arXiv metadata only in this batch,included_metadata_only,weak_seed_only,most gates fail: target_gate;split_gate;evidence_gate;metric_gate;boundary_gate,0,Fail,Fail,Fail,Fail,Fail,Pass
E2S-035,artifact_corpus_fixed_search_20260526.csv,fs20260526-arxiv-07,Investigating Memorization in Video Diffusion Models,https://arxiv.org/abs/2410.21669,n/a,arXiv metadata only in this batch,included_metadata_only,weak_seed_only,most gates fail: target_gate;split_gate;evidence_gate;metric_gate;boundary_gate,0,Fail,Fail,Fail,Fail,Fail,Pass
E2S-036,artifact_corpus_fixed_search_20260526.csv,fs20260526-arxiv-08,How Diffusion Models Memorize,https://arxiv.org/abs/2509.25705,n/a,arXiv metadata only in this batch,included_metadata_only,weak_seed_only,most gates fail: target_gate;split_gate;evidence_gate;metric_gate;boundary_gate,0,Fail,Fail,Fail,Fail,Fail,Pass
E2S-037,artifact_corpus_fixed_search_20260526.csv,fs20260526-arxiv-09,Privacy Threats in Stable Diffusion Models,https://arxiv.org/abs/2311.09355,n/a,arXiv metadata only in this batch,included_metadata_only,needs_artifact_followup,missing score/response or metric surface,0,Partial,Fail,Fail,Fail,Partial,Pass
E2S-038,artifact_corpus_fixed_search_20260526.csv,fs20260526-arxiv-noise-01,Riddle Me This! Stealthy Membership Inference for Retrieval-Augmented Generation,https://arxiv.org/abs/2502.00306,n/a,title-only query matched non-diffusion RAG membership work,excluded_query_noise,weak_seed_only,most gates fail: target_gate;split_gate;evidence_gate;metric_gate;boundary_gate;delta_gate,0,Fail,Fail,Fail,Fail,Fail,Fail
E2S-039,artifact_corpus_targeted_artifact_links_20260527.csv,ta20260527-hf-01,Towards More Realistic Membership Inference Attacks on Large Diffusion Models,https://arxiv.org/abs/2306.12983,https://huggingface.co/datasets/antoniaaa/laion_mi,"Dataset Viewer reports default config with members=13396 rows and nonmembers=26874 rows, total=40270 rows, two columns (url, caption), and separate members/nonmembers parquet shards; dataset card links arXiv 2306.12983 and states the dataset and setup are published",L1 artifact inspection,needs_artifact_followup,missing score/response or metric surface,0,Partial,Pass,Partial,Fail,Partial,Pass
E2S-040,artifact_corpus_targeted_artifact_links_20260527.csv,ta20260527-github-02,Are Diffusion Models Vulnerable to Membership Inference Attacks?,https://arxiv.org/abs/2302.01316,https://github.com/jinhaoduan/SecMI,"README states this is the official implementation, names SecMI, documents training and SecMI execution, says default training loads splittings stored in mia_evals/member_splits, and links pretrained models; repository tree exposes README.md, secmia.py, main.py, train.sh, mia_evals/member_splits with four train_ratio0.5 split npz files, mia_evals/measures, score, and stats/cifar10.train.npz",L1 artifact inspection,needs_artifact_followup,missing score/response or metric surface,0,Partial,Pass,Partial,Fail,Partial,Pass
E2S-041,artifact_corpus_targeted_artifact_links_20260527.csv,ta20260527-github-03,Membership Inference of Diffusion Models,https://arxiv.org/abs/2301.09956,https://github.com/HailongHuPri/MIDM,"README links the arXiv and ISC paper, describes data_process.py producing ffhq_1000_idx.npy for member/nonmember indices, documents a pre-trained DDPM Google Drive link, says loss_attack.py outputs loss values of all samples, says likelihood_attack.py outputs likelihood values of all samples, and lists Example.ipynb plus diffusion/attack code",L1 artifact inspection,needs_artifact_followup,missing score/response or metric surface,0,Partial,Partial,Partial,Fail,Partial,Pass
E2S-042,artifact_corpus_broader_source_20260527.csv,bs20260527-hf-01,no model result in HF model search,n/a,n/a,empty model-search result set,excluded_no_result,exclude_no_public_source,missing public source,0,Fail,Fail,Fail,Fail,Fail,Fail
E2S-043,artifact_corpus_broader_source_20260527.csv,bs20260527-hf-02,no model result in HF model search,n/a,n/a,empty model-search result set,excluded_no_result,exclude_no_public_source,missing public source,0,Fail,Fail,Fail,Fail,Fail,Fail
E2S-044,artifact_corpus_broader_source_20260527.csv,bs20260527-hf-03,no model result in HF model search,n/a,n/a,empty model-search result set,excluded_no_result,exclude_no_public_source,missing public source,0,Fail,Fail,Fail,Fail,Fail,Fail
E2S-045,artifact_corpus_broader_source_20260527.csv,bs20260527-zenodo-01,no title-exact Zenodo record,n/a,n/a,empty title-exact record search,excluded_no_result,exclude_no_public_source,missing public source,0,Fail,Fail,Fail,Fail,Fail,Fail
E2S-046,artifact_corpus_broader_source_20260527.csv,bs20260527-zenodo-02,no title-exact Zenodo record,n/a,n/a,empty title-exact record search,excluded_no_result,exclude_no_public_source,missing public source,0,Fail,Fail,Fail,Fail,Fail,Fail
E2S-047,artifact_corpus_broader_source_20260527.csv,bs20260527-zenodo-03,no title-exact Zenodo record,n/a,n/a,empty title-exact record search,excluded_no_result,exclude_no_public_source,missing public source,0,Fail,Fail,Fail,Fail,Fail,Fail
E2S-048,artifact_corpus_broader_source_20260527.csv,bs20260527-openreview-01,no titled paper record in first 10 API search hits,https://api2.openreview.net/notes/search?term=diffusion%20membership%20inference&limit=10,n/a,10 search hits with empty title/venue/pdf fields in API response,excluded_unstructured_search_hits,weak_seed_only,most gates fail: target_gate;split_gate;evidence_gate;metric_gate;boundary_gate;delta_gate,0,Fail,Fail,Fail,Fail,Fail,Fail
E2S-049,artifact_corpus_broader_source_20260527.csv,bs20260527-openreview-02,no titled paper record in first 10 API search hits,https://api2.openreview.net/notes/search?term=diffusion%20memorization%20privacy&limit=10,n/a,10 search hits with empty title/venue/pdf fields in API response,excluded_unstructured_search_hits,weak_seed_only,most gates fail: target_gate;split_gate;evidence_gate;metric_gate;boundary_gate;delta_gate,0,Fail,Fail,Fail,Fail,Fail,Fail
E2S-050,artifact_corpus_broader_source_20260527.csv,bs20260527-openreview-03,Towards More Realistic Membership Inference Attacks on Large Diffusion Models,https://openreview.net/forum?id=CzsDfLrcTs; https://openreview.net/forum?id=iBRAvbVjPd; https://openreview.net/forum?id=BYiX0cogWH; https://openreview.net/forum?id=Pmkt85RIbs,n/a,two WACV/IEEE PDF links and two CoRR/arXiv PDF links in API metadata; no row-bound artifact packet observed,included_duplicate_metadata,needs_artifact_followup,missing score/response or metric surface,0,Partial,Fail,Fail,Fail,Partial,Pass
E2S-051,artifact_corpus_broader_source_20260527.csv,bs20260527-openreview-04,six untitled API search hits,https://api2.openreview.net/notes/search?term=stable%20diffusion%20membership%20inference&limit=10,n/a,six search hits with empty title/venue/pdf fields in API response,excluded_unstructured_search_hits,weak_seed_only,most gates fail: target_gate;split_gate;evidence_gate;metric_gate;boundary_gate;delta_gate,0,Fail,Fail,Fail,Fail,Fail,Fail
