queue_id,title,public_source_candidates,why_distinct,likely_false_promotion_relevance,required_followup,risk_or_duplicate
E2SCT-015,DualMD DistillMD,https://openreview.net/forum?id=PjIe6IesEm,Disjoint-split distillation defense supplement surface,Split-index supplement rule may over-promote,Refresh supplement and check defended/undefended scores,Defense-only and likely no checkpoint packet
E2SCT-016,MIAHOLD HOLD++,https://github.com/bensterl15/MIAHOLD; https://github.com/bensterl15/MIAHOLDCIFAR,Higher-order Langevin defense with split/attack code hints,Code plus split-file rule may over-promote,Check checkpoint-bound target and score artifacts,Audio/CIFAR mixed boundary
E2SCT-017,CPSample defense,https://openreview.net/forum?id=LIBLIlk5M9,Sampling-time defense surface with code supplement hints,Paper metric plus supplement rule may over-promote,Refresh supplement and verify whether checkpoint/scores are absent,Defense not attack evidence
E2SCT-018,GGDM graph generative diffusion MIA,https://zenodo.org/records/17946102,Graph generative diffusion MIA code archive surface,Zenodo code artifact rule may over-promote,Central-directory metadata only and check graph split/score packet,Graph modality out of scope risk
E2SCT-019,VidLeaks T2V,https://zenodo.org/records/17972831,Text-to-video membership code snapshot surface,ROC images plus code snapshot rule may over-promote,Check live repo/release and score CSV/video manifests,T2V cross-modal and live repo risk
E2SCT-020,LSA-Probe music diffusion,https://github.com/kaslim/LSA-Probe; https://arxiv.org/abs/2602.01645,Music/audio diffusion MIA surface,Paper figures or demo rule may over-promote,Verify repo status and absence or presence of score arrays,Mock demo data risk
E2SCT-021,ELSA Health Privacy Challenge,https://github.com/PMBio/Health-Privacy-Challenge,Biomedical synthetic-data MIA benchmark example surface,Starter packet plus metric-code rule may over-promote,Separate toy examples from gated challenge targets,Gated actual data
E2SCT-022,Tabular Privacy Leakage TDM,https://arxiv.org/abs/2605.06835; https://github.com/VectorInstitute/midst-toolkit,Single-table tabular diffusion privacy surface,Official toolkit rule may over-promote,Check paper-specific Berka/Diabetes packets,Overlaps MIDST or tabular lane
E2SCT-023,FERMI,https://arxiv.org/abs/2605.11527,Multi-relational tabular diffusion MIA surface,Reported table metric rule may over-promote,Refresh source and search for official code/scores,Paper-source-only risk
E2SCT-024,DME dual-model entropy,https://github.com/F-YaNG1/DME,Dual-model entropy complexity-bias MIA surface,Official repo exists rule may over-promote,Verify stub status and missing split/checkpoint/score,README-only stub risk
E2SCT-025,Hyperparameter-Free SecMI reproduction,https://github.com/mohammadKazzazi/Membership-Inference-Attack-against-Diffusion-Models,Third-party SecMI-family reproduction/report surface,Notebook or report rule may over-promote,Classify support-only and inspect raw scores absence,SecMI-family duplicate risk
E2SCT-026,MIAGM,https://github.com/minxingzhang/MIAGM,Generated-distribution MIA reference surface,Code-reference rule may over-promote,Check target checkpoints splits and generated payloads,Broad generative surface may not be diffusion-specific
E2SCT-027,Memorization-LDM,https://github.com/Cardio-AI/memorization-ldm; https://zenodo.org/records/15267790,Medical latent-diffusion memorization surface,Code plus Zenodo snapshot rule may over-promote,Verify target LDM and synthetic samples without downloading large data,Medical or gated data risk
E2SCT-028,SD-MIA pre-training T2I black-box MIA,https://github.com/wanghl21/SD-MIA; https://openaccess.thecvf.com/content/CVPR2026/papers/Qi_Black-box_Membership_Inference_Attacks_on_the_Pre-training_Data_of_Image-generation_CVPR_2026_paper.pdf,2026 CVPR text-to-image pretraining black-box MIA with LAION-mi/FlickrMIA-25 rather than fine-tuning or tabular/audio,Code-public and paper-result rule may over-promote; README exposes label JSON schema and notebook score pooling but no committed score packet,Check repo tree/CVF paper for public original.json attack_results score rows generated outputs split manifest metric JSON verifier or dataset release,Fresh image-generation pretraining surface but likely code-only/local-output; no download/GPU unless row-bound packet appears
