queue_id,e2_seed_id,source_table,source_row_id,title,source_url,artifact_url,observed_public_files,seed_status,first_freeze_blocker,needs_external_source_check,public_source_candidates,freeze_state,next_action,current_cycle_package_status,current_cycle_next_action,current_cycle_source
E2Q-011,E2S-011,artifact_corpus_v1.csv,v0-11,Quantile/SecMI public packet,docs/evidence/quantile-diffusion-mia-secmia-terror-replay-20260515.md,third-party t_error score rows and splits,score packet,candidate_for_freeze_review,eligible for E2 blind freeze review,1,https://github.com/neilkale/quantile-diffusion-mia,needs_public_source_refresh,replace local evidence note with public source URL,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
E2Q-012,E2S-020,artifact_corpus_v1.csv,v1-09,Model Will Tell / DRC,docs/evidence/model-will-tell-drc-artifact-gate-20260523.md,arXiv 2403.08487v1; no official code found,paper source and metadata,needs_artifact_followup,missing score/response or metric surface,1,https://arxiv.org/abs/2403.08487v1,needs_public_source_and_artifact_followup,replace local evidence note with public source URL and inspect artifact surface,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
E2Q-013,E2S-022,artifact_corpus_fixed_search_20260526.csv,fs20260526-github-01,ronketer/diffusion-membership-inference,https://github.com/ronketer/diffusion-membership-inference,https://github.com/ronketer/diffusion-membership-inference,notebooks; README; report media; private Colab/GDrive target paths noted in existing gate,candidate_for_freeze_review,eligible for E2 blind freeze review,0,https://github.com/ronketer/diffusion-membership-inference,ready_for_package_after_duplicate_review,prepare blind adjudication row package after duplicate review,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
E2Q-014,E2S-023,artifact_corpus_fixed_search_20260526.csv,fs20260526-github-02,fseclab-osaka/mia-diffusion,https://github.com/fseclab-osaka/mia-diffusion,https://github.com/fseclab-osaka/mia-diffusion,DDIM/DCGAN code; attack scripts; deterministic runtime split construction; FID stats; no checkpoint-bound score packet,needs_artifact_followup,missing score/response or metric surface,0,https://github.com/fseclab-osaka/mia-diffusion,needs_artifact_followup,inspect public artifact surface for score/response or metric packet,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
E2Q-015,E2S-029,artifact_corpus_fixed_search_20260526.csv,fs20260526-arxiv-01,Membership Inference Attacks against Diffusion Models,https://arxiv.org/abs/2302.03262,https://github.com/fseclab-osaka/mia-diffusion,same line as fs20260526-github-02; official code but no frozen replay packet,needs_artifact_followup,missing score/response or metric surface,0,https://arxiv.org/abs/2302.03262,needs_artifact_followup,inspect public artifact surface for score/response or metric packet,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
E2Q-016,E2S-030,artifact_corpus_fixed_search_20260526.csv,fs20260526-arxiv-02,Towards More Realistic Membership Inference Attacks on Large Diffusion Models,https://arxiv.org/abs/2306.12983,n/a,arXiv metadata only in this batch,needs_artifact_followup,missing score/response or metric surface,0,https://arxiv.org/abs/2306.12983,needs_artifact_followup,inspect public artifact surface for score/response or metric packet,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
E2Q-017,E2S-032,artifact_corpus_fixed_search_20260526.csv,fs20260526-arxiv-04,Membership Inference of Diffusion Models,https://arxiv.org/abs/2301.09956,n/a,arXiv metadata only in this batch,needs_artifact_followup,missing score/response or metric surface,0,https://arxiv.org/abs/2301.09956,needs_artifact_followup,inspect public artifact surface for score/response or metric packet,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
E2Q-018,E2S-033,artifact_corpus_fixed_search_20260526.csv,fs20260526-arxiv-05,Are Diffusion Models Vulnerable to Membership Inference Attacks?,https://arxiv.org/abs/2302.01316,n/a,arXiv metadata only in this batch,needs_artifact_followup,missing score/response or metric surface,0,https://arxiv.org/abs/2302.01316,needs_artifact_followup,inspect public artifact surface for score/response or metric packet,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
E2Q-019,E2S-037,artifact_corpus_fixed_search_20260526.csv,fs20260526-arxiv-09,Privacy Threats in Stable Diffusion Models,https://arxiv.org/abs/2311.09355,n/a,arXiv metadata only in this batch,needs_artifact_followup,missing score/response or metric surface,0,https://arxiv.org/abs/2311.09355,needs_artifact_followup,inspect public artifact surface for score/response or metric packet,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
E2Q-020,E2S-039,artifact_corpus_targeted_artifact_links_20260527.csv,ta20260527-hf-01,Towards More Realistic Membership Inference Attacks on Large Diffusion Models,https://arxiv.org/abs/2306.12983,https://huggingface.co/datasets/antoniaaa/laion_mi,"Dataset Viewer reports default config with members=13396 rows and nonmembers=26874 rows, total=40270 rows, two columns (url, caption), and separate members/nonmembers parquet shards; dataset card links arXiv 2306.12983 and states the dataset and setup are published",needs_artifact_followup,missing score/response or metric surface,0,https://arxiv.org/abs/2306.12983,needs_artifact_followup,inspect public artifact surface for score/response or metric packet,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
E2Q-021,E2S-040,artifact_corpus_targeted_artifact_links_20260527.csv,ta20260527-github-02,Are Diffusion Models Vulnerable to Membership Inference Attacks?,https://arxiv.org/abs/2302.01316,https://github.com/jinhaoduan/SecMI,"README states this is the official implementation, names SecMI, documents training and SecMI execution, says default training loads splittings stored in mia_evals/member_splits, and links pretrained models; repository tree exposes README.md, secmia.py, main.py, train.sh, mia_evals/member_splits with four train_ratio0.5 split npz files, mia_evals/measures, score, and stats/cifar10.train.npz",needs_artifact_followup,missing score/response or metric surface,0,https://arxiv.org/abs/2302.01316,needs_artifact_followup,inspect public artifact surface for score/response or metric packet,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
E2Q-022,E2S-041,artifact_corpus_targeted_artifact_links_20260527.csv,ta20260527-github-03,Membership Inference of Diffusion Models,https://arxiv.org/abs/2301.09956,https://github.com/HailongHuPri/MIDM,"README links the arXiv and ISC paper, describes data_process.py producing ffhq_1000_idx.npy for member/nonmember indices, documents a pre-trained DDPM Google Drive link, says loss_attack.py outputs loss values of all samples, says likelihood_attack.py outputs likelihood values of all samples, and lists Example.ipynb plus diffusion/attack code",needs_artifact_followup,missing score/response or metric surface,0,https://arxiv.org/abs/2301.09956,needs_artifact_followup,inspect public artifact surface for score/response or metric packet,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
E2Q-023,E2S-050,artifact_corpus_broader_source_20260527.csv,bs20260527-openreview-03,Towards More Realistic Membership Inference Attacks on Large Diffusion Models,https://openreview.net/forum?id=CzsDfLrcTs; https://openreview.net/forum?id=iBRAvbVjPd; https://openreview.net/forum?id=BYiX0cogWH; https://openreview.net/forum?id=Pmkt85RIbs,n/a,two WACV/IEEE PDF links and two CoRR/arXiv PDF links in API metadata; no row-bound artifact packet observed,needs_artifact_followup,missing score/response or metric surface,0,https://openreview.net/forum?id=CzsDfLrcTs; https://openreview.net/forum?id=iBRAvbVjPd; https://openreview.net/forum?id=BYiX0cogWH; https://openreview.net/forum?id=Pmkt85RIbs,needs_artifact_followup,inspect public artifact surface for score/response or metric packet,current_cycle_external_package_no_go,do not package this seed row for external adjudication in the current cycle; use e2_false_promotion_expansion_queue_2026_06_07.md and the measurement-route gap board,v1_review_and_post_c14_expansion_queue_2026_06_07
