refreshed_at_utc,queue_id,title,url_count,source_kinds,artifact_surface_hint,followup_bucket,code_hint_count,split_hint_count,score_metric_hint_count,checkpoint_hint_count,response_hint_count,signal_items_sample,why_distinct,likely_false_promotion_relevance,required_followup,risk_or_duplicate,metadata_notes
2026-06-07T19:29:29.792284+00:00,E2SCT-011,VAE2Diffusion,2,arxiv;github,score_or_metric_surface_hint,priority_gate_review,1,1,1,1,1,"summary:The recovery of training data from generative models (""model inversion"") has been extensively studied for diffus",Latent-space inversion MIA surface,Released-code claim may over-promote,Check README asset links and score/ROC artifacts,Same author family and asset links may be empty,"https://github.com/mx-ethan-rao/VAE2Diffusion: github_repo_status=403; github_error={""message"":""API rate limit exceeded for 203.10.99.11. (But here's the good news: Authenticated requests get a higher rat; github_rate_limited=1; raw_README.md_status=200; github_page_status=200 || https://arxiv.org/abs/2511.20592: arxiv_status=200"
2026-06-07T19:29:29.792284+00:00,E2SCT-012,Shake-to-Leak,1,github,metadata_retry_needed,metadata_retry_needed,0,0,0,0,0,,Fine-tuning-amplified leakage or extraction surface,Runnable-code rule may over-promote,Check public checkpoint private-set and response artifacts,May require local generation rather than frozen packet,"https://github.com/VITA-Group/Shake-to-Leak: github_repo_status=403; github_error={""message"":""API rate limit exceeded for 203.10.99.11. (But here's the good news: Authenticated requests get a higher rat; github_rate_limited=1; raw_README.md_status=200; github_page_status=200"
2026-06-07T19:29:29.792284+00:00,E2SCT-013,DCR copying manifest,1,github,metadata_retry_needed,metadata_retry_needed,0,0,0,0,0,,Copying or replication detection surface with caption manifest,Caption-manifest rule may over-promote,Separate copying from membership and look for score/response packet,Semantic shift from membership,"https://github.com/somepago/DCR: github_repo_status=403; github_error={""message"":""API rate limit exceeded for 203.10.99.11. (But here's the good news: Authenticated requests get a higher rat; github_rate_limited=1; raw_README.md_status=200; github_page_status=200"
2026-06-07T19:29:29.792284+00:00,E2SCT-014,CDI copyrighted data identification,1,github,metadata_retry_needed,metadata_retry_needed,0,0,0,0,0,,Dataset-level copyrighted-data identification surface,Official repo plus metric-code rule may over-promote,Apply dataset-level boundary and look for feature/score outputs,Not per-sample MIA,"https://github.com/sprintml/copyrighted_data_identification: github_repo_status=403; github_error={""message"":""API rate limit exceeded for 203.10.99.11. (But here's the good news: Authenticated requests get a higher rat; github_rate_limited=1; raw_README.md_status=200; github_page_status=200"
2026-06-07T19:29:29.792284+00:00,E2SCT-015,DualMD DistillMD,1,openreview,paper_metadata_only,paper_source_only_backup,0,0,0,0,0,,Disjoint-split distillation defense supplement surface,Split-index supplement rule may over-promote,Refresh supplement and check defended/undefended scores,Defense-only and likely no checkpoint packet,https://openreview.net/forum?id=PjIe6IesEm: openreview_api_status=200; openreview_api_status=200
2026-06-07T19:29:29.792284+00:00,E2SCT-016,MIAHOLD HOLD++,2,github,metadata_retry_needed,metadata_retry_needed,0,0,0,0,0,,Higher-order Langevin defense with split/attack code hints,Code plus split-file rule may over-promote,Check checkpoint-bound target and score artifacts,Audio/CIFAR mixed boundary,"https://github.com/bensterl15/MIAHOLD: github_repo_status=403; github_error={""message"":""API rate limit exceeded for 203.10.99.11. (But here's the good news: Authenticated requests get a higher rat; github_rate_limited=1; raw_README.md_status=200; github_page_status=200 || https://github.com/bensterl15/MIAHOLDCIFAR: github_repo_status=403; github_error={""message"":""API rate limit exceeded for 203.10.99.11. (But here's the good news: Authenticated requests get a higher rat; github_rate_limited=1; raw_README.md_status=200; github_page_status=200"
2026-06-07T19:29:29.792284+00:00,E2SCT-017,CPSample defense,1,openreview,paper_metadata_only,paper_source_only_backup,0,0,0,0,0,,Sampling-time defense surface with code supplement hints,Paper metric plus supplement rule may over-promote,Refresh supplement and verify whether checkpoint/scores are absent,Defense not attack evidence,https://openreview.net/forum?id=LIBLIlk5M9: openreview_api_status=200; openreview_api_status=200
2026-06-07T19:29:29.792284+00:00,E2SCT-018,GGDM graph generative diffusion MIA,1,zenodo_record,no_artifact_surface_hint,backup_or_exclude,0,0,0,0,0,Inference-attacks-against-GGDM-main.zip size=56162 checksum=md5:96ba7e93e7b5de231ae3a5ea510d,Graph generative diffusion MIA code archive surface,Zenodo code artifact rule may over-promote,Central-directory metadata only and check graph split/score packet,Graph modality out of scope risk,https://zenodo.org/records/17946102: zenodo_status=200
2026-06-07T19:29:29.792284+00:00,E2SCT-019,VidLeaks T2V,1,zenodo_record,code_only_surface_hint,artifact_followup,1,0,0,0,0,wangli-codesT2V_MIA-v1.0.1.zip size=1521848 checksum=md5:001e45be0e4229aead4f14011d12,Text-to-video membership code snapshot surface,ROC images plus code snapshot rule may over-promote,Check live repo/release and score CSV/video manifests,T2V cross-modal and live repo risk,https://zenodo.org/records/17972831: zenodo_status=200
2026-06-07T19:29:29.792284+00:00,E2SCT-020,LSA-Probe music diffusion,2,arxiv;github,score_or_metric_surface_hint,priority_gate_review,0,1,1,1,1,"summary:Membership inference attacks (MIAs) test whether a specific audio clip was used to train a model, making them a ",Music/audio diffusion MIA surface,Paper figures or demo rule may over-promote,Verify repo status and absence or presence of score arrays,Mock demo data risk,"https://github.com/kaslim/LSA-Probe: github_repo_status=403; github_error={""message"":""API rate limit exceeded for 203.10.99.11. (But here's the good news: Authenticated requests get a higher rat; github_rate_limited=1; raw_README.md_status=200; github_page_status=200 || https://arxiv.org/abs/2602.01645: arxiv_status=200"
2026-06-07T19:29:29.792284+00:00,E2SCT-021,ELSA Health Privacy Challenge,1,github,metadata_retry_needed,metadata_retry_needed,0,0,0,0,0,,Biomedical synthetic-data MIA benchmark example surface,Starter packet plus metric-code rule may over-promote,Separate toy examples from gated challenge targets,Gated actual data,"https://github.com/PMBio/Health-Privacy-Challenge: github_repo_status=403; github_error={""message"":""API rate limit exceeded for 203.10.99.11. (But here's the good news: Authenticated requests get a higher rat; github_rate_limited=1; raw_README.md_status=200; github_page_status=200"
2026-06-07T19:29:29.792284+00:00,E2SCT-022,Tabular Privacy Leakage TDM,2,arxiv;github,split_checkpoint_surface_hint,priority_gate_review,0,1,0,1,0,"summary:Tabular data plays an important role in many fields and industries, including those with elevated privacy consid",Single-table tabular diffusion privacy surface,Official toolkit rule may over-promote,Check paper-specific Berka/Diabetes packets,Overlaps MIDST or tabular lane,"https://arxiv.org/abs/2605.06835: arxiv_status=200 || https://github.com/VectorInstitute/midst-toolkit: github_repo_status=403; github_error={""message"":""API rate limit exceeded for 203.10.99.11. (But here's the good news: Authenticated requests get a higher rat; github_rate_limited=1; raw_README.md_status=200; github_page_status=200"
2026-06-07T19:29:29.792284+00:00,E2SCT-023,FERMI,1,arxiv,split_checkpoint_surface_hint,priority_gate_review,0,1,0,1,0,summary:Diffusion models are the leading approach for tabular data synthesis and are increasingly used to share sensitiv,Multi-relational tabular diffusion MIA surface,Reported table metric rule may over-promote,Refresh source and search for official code/scores,Paper-source-only risk,https://arxiv.org/abs/2605.11527: arxiv_status=200
2026-06-07T19:29:29.792284+00:00,E2SCT-024,DME dual-model entropy,1,github,metadata_retry_needed,metadata_retry_needed,0,0,0,0,0,,Dual-model entropy complexity-bias MIA surface,Official repo exists rule may over-promote,Verify stub status and missing split/checkpoint/score,README-only stub risk,"https://github.com/F-YaNG1/DME: github_repo_status=403; github_error={""message"":""API rate limit exceeded for 203.10.99.11. (But here's the good news: Authenticated requests get a higher rat; github_rate_limited=1; raw_README.md_status=200; github_page_status=200"
2026-06-07T19:29:29.792284+00:00,E2SCT-025,Hyperparameter-Free SecMI reproduction,1,github,metadata_retry_needed,metadata_retry_needed,0,0,0,0,0,,Third-party SecMI-family reproduction/report surface,Notebook or report rule may over-promote,Classify support-only and inspect raw scores absence,SecMI-family duplicate risk,"https://github.com/mohammadKazzazi/Membership-Inference-Attack-against-Diffusion-Models: github_repo_status=403; github_error={""message"":""API rate limit exceeded for 203.10.99.11. (But here's the good news: Authenticated requests get a higher rat; github_rate_limited=1; raw_README.md_status=200; github_page_status=200"
2026-06-07T19:29:29.792284+00:00,E2SCT-026,MIAGM,1,github,metadata_retry_needed,metadata_retry_needed,0,0,0,0,0,,Generated-distribution MIA reference surface,Code-reference rule may over-promote,Check target checkpoints splits and generated payloads,Broad generative surface may not be diffusion-specific,"https://github.com/minxingzhang/MIAGM: github_repo_status=403; github_error={""message"":""API rate limit exceeded for 203.10.99.11. (But here's the good news: Authenticated requests get a higher rat; github_rate_limited=1; raw_README.md_status=200; github_page_status=200"
2026-06-07T19:29:29.792284+00:00,E2SCT-027,Memorization-LDM,2,github;zenodo_record,metadata_retry_needed,metadata_retry_needed,0,0,0,0,0,memorization-ldm.zip size=3686212 checksum=md5:f939e9a7c0a0a4a80d8c65b0a1a6,Medical latent-diffusion memorization surface,Code plus Zenodo snapshot rule may over-promote,Verify target LDM and synthetic samples without downloading large data,Medical or gated data risk,"https://github.com/Cardio-AI/memorization-ldm: github_repo_status=403; github_error={""message"":""API rate limit exceeded for 203.10.99.11. (But here's the good news: Authenticated requests get a higher rat; github_rate_limited=1; raw_README.md_status=200; github_page_status=200 || https://zenodo.org/records/15267790: zenodo_status=200"
2026-06-07T19:29:29.792284+00:00,E2SCT-028,SD-MIA pre-training T2I black-box MIA,2,generic_page;github,metadata_retry_needed,metadata_retry_needed,0,0,0,0,0,,2026 CVPR text-to-image pretraining black-box MIA with LAION-mi/FlickrMIA-25 rather than fine-tuning or tabular/audio,Code-public and paper-result rule may over-promote; README exposes label JSON schema and notebook score pooling but no committed score packet,Check repo tree/CVF paper for public original.json attack_results score rows generated outputs split manifest metric JSON verifier or dataset release,Fresh image-generation pretraining surface but likely code-only/local-output; no download/GPU unless row-bound packet appears,"https://github.com/wanghl21/SD-MIA: github_repo_status=403; github_error={""message"":""API rate limit exceeded for 203.10.99.11. (But here's the good news: Authenticated requests get a higher rat; github_rate_limited=1; raw_README.md_status=200; github_page_status=200 || https://openaccess.thecvf.com/content/CVPR2026/papers/Qi_Black-box_Membership_Inference_Attacks_on_the_Pre-training_Data_of_Image-generation_CVPR_2026_paper.pdf: page_status=200"
