pilot_id,title,field,labels,first_blockers,notes
E2P-007,GUARD surgical mitigation,provenance_gate,A=Partial;B=Fail;C=Fail,A=no score artifacts; B=no score or response artifacts; C=no score artifacts,"A: Official code-public mitigation context only; no row manifest response packet metrics or bounded verifier. | B: Official code is public and mechanism-distinct, but no row manifest, generated packet, metric JSON, retained-utility table, checkpoint-bound target, or verifier output is committed. | C: Official code is public and mechanism-relevant, but there are no row manifests, generated response packets, pre/post score rows, ROC arrays, metric JSON, retained-utility artifacts, or verifier output."
E2P-007,GUARD surgical mitigation,allowed_wording,A=blocked;B=candidate-only;C=blocked,A=no score artifacts; B=no score or response artifacts; C=no score artifacts,"A: Official code-public mitigation context only; no row manifest response packet metrics or bounded verifier. | B: Official code is public and mechanism-distinct, but no row manifest, generated packet, metric JSON, retained-utility table, checkpoint-bound target, or verifier output is committed. | C: Official code is public and mechanism-relevant, but there are no row manifests, generated response packets, pre/post score rows, ROC arrays, metric JSON, retained-utility artifacts, or verifier output."
E2P-010,Divya1201/diffusion-privacy-attacks,metric_gate,A=Partial;B=Fail;C=Fail,A=no committed score or manifest packet; B=no committed score or manifest packet; C=no committed score or manifest packet,"A: Repository appears executable but observed files do not include row-bound results or immutable audit artifacts. | B: Repository surface includes scripts and attack/evaluation modules, but template states no committed score packet or manifest packet. | C: README and scripts suggest an executable attack surface, but no committed row scores, manifest packet, or metric provenance are present in the provided public fields."
E2P-011,Towards More Realistic Membership Inference Attacks on Large Diffusion Models,target_gate,A=Partial;B=Partial;C=Fail,A=arXiv metadata only; B=arXiv metadata only; C=arXiv metadata only,"A: Paper metadata alone cannot bind target split score rows or recomputable metrics. | B: Paper metadata alone cannot establish target identity, split, score/response coverage, metric replay, or consumer-ready audit evidence. | C: Only arXiv metadata is available in this batch; no artifact, split, score, metric provenance, or consumer-bound evidence is provided."
E2P-011,Towards More Realistic Membership Inference Attacks on Large Diffusion Models,split_gate,A=Fail;B=N/A;C=Fail,A=arXiv metadata only; B=arXiv metadata only; C=arXiv metadata only,"A: Paper metadata alone cannot bind target split score rows or recomputable metrics. | B: Paper metadata alone cannot establish target identity, split, score/response coverage, metric replay, or consumer-ready audit evidence. | C: Only arXiv metadata is available in this batch; no artifact, split, score, metric provenance, or consumer-bound evidence is provided."
E2P-011,Towards More Realistic Membership Inference Attacks on Large Diffusion Models,provenance_gate,A=Partial;B=Fail;C=Fail,A=arXiv metadata only; B=arXiv metadata only; C=arXiv metadata only,"A: Paper metadata alone cannot bind target split score rows or recomputable metrics. | B: Paper metadata alone cannot establish target identity, split, score/response coverage, metric replay, or consumer-ready audit evidence. | C: Only arXiv metadata is available in this batch; no artifact, split, score, metric provenance, or consumer-bound evidence is provided."
E2P-011,Towards More Realistic Membership Inference Attacks on Large Diffusion Models,allowed_wording,A=candidate-only;B=candidate-only;C=blocked,A=arXiv metadata only; B=arXiv metadata only; C=arXiv metadata only,"A: Paper metadata alone cannot bind target split score rows or recomputable metrics. | B: Paper metadata alone cannot establish target identity, split, score/response coverage, metric replay, or consumer-ready audit evidence. | C: Only arXiv metadata is available in this batch; no artifact, split, score, metric provenance, or consumer-bound evidence is provided."
E2P-012,Are Diffusion Models Vulnerable to Membership Inference Attacks?,target_gate,A=Partial;B=Partial;C=Fail,A=arXiv metadata only; B=arXiv metadata only; C=arXiv metadata only,"A: Paper metadata alone cannot bind target split score rows or recomputable metrics. | B: Paper metadata alone cannot establish target identity, split, score/response coverage, metric replay, or consumer-ready audit evidence. | C: Only arXiv metadata is available in this batch; no artifact, split, score, metric provenance, or consumer-bound evidence is provided."
E2P-012,Are Diffusion Models Vulnerable to Membership Inference Attacks?,split_gate,A=Fail;B=N/A;C=Fail,A=arXiv metadata only; B=arXiv metadata only; C=arXiv metadata only,"A: Paper metadata alone cannot bind target split score rows or recomputable metrics. | B: Paper metadata alone cannot establish target identity, split, score/response coverage, metric replay, or consumer-ready audit evidence. | C: Only arXiv metadata is available in this batch; no artifact, split, score, metric provenance, or consumer-bound evidence is provided."
E2P-012,Are Diffusion Models Vulnerable to Membership Inference Attacks?,provenance_gate,A=Partial;B=Fail;C=Fail,A=arXiv metadata only; B=arXiv metadata only; C=arXiv metadata only,"A: Paper metadata alone cannot bind target split score rows or recomputable metrics. | B: Paper metadata alone cannot establish target identity, split, score/response coverage, metric replay, or consumer-ready audit evidence. | C: Only arXiv metadata is available in this batch; no artifact, split, score, metric provenance, or consumer-bound evidence is provided."
E2P-012,Are Diffusion Models Vulnerable to Membership Inference Attacks?,allowed_wording,A=candidate-only;B=candidate-only;C=blocked,A=arXiv metadata only; B=arXiv metadata only; C=arXiv metadata only,"A: Paper metadata alone cannot bind target split score rows or recomputable metrics. | B: Paper metadata alone cannot establish target identity, split, score/response coverage, metric replay, or consumer-ready audit evidence. | C: Only arXiv metadata is available in this batch; no artifact, split, score, metric provenance, or consumer-bound evidence is provided."
E2P-013,Towards More Realistic Membership Inference Attacks on Large Diffusion Models,provenance_gate,A=Pass;B=Partial;C=Partial,A=no row-bound model score or response packet; B=no score packet; C=no row-score or metric artifact,"A: Dataset gives member and nonmember shards for the paper setup but not checkpoint-bound attack scores or recomputable audit metrics. | B: Public HF dataset exposes member/nonmember shards and row counts for the cited setup, but it is a dataset/split artifact without score or response evidence. | C: HF dataset fields support a published member/nonmember data split for the paper context, but there are no per-row scores, model response artifacts, or metric provenance for an audit/report claim."
E2P-013,Towards More Realistic Membership Inference Attacks on Large Diffusion Models,consumer_or_delta_gate,A=Partial;B=Fail;C=Fail,A=no row-bound model score or response packet; B=no score packet; C=no row-score or metric artifact,"A: Dataset gives member and nonmember shards for the paper setup but not checkpoint-bound attack scores or recomputable audit metrics. | B: Public HF dataset exposes member/nonmember shards and row counts for the cited setup, but it is a dataset/split artifact without score or response evidence. | C: HF dataset fields support a published member/nonmember data split for the paper context, but there are no per-row scores, model response artifacts, or metric provenance for an audit/report claim."
E2P-014,Are Diffusion Models Vulnerable to Membership Inference Attacks?,score_or_response_gate,A=Fail;B=Partial;C=Partial,A=no committed score packet; B=no consumer-ready score packet; C=no compact consumer-bound score manifest,"A: Official implementation and split files are visible but observed surface lacks committed row-bound scores for audit admission. | B: Official SecMI implementation and split files are public, with pretrained model links and score/stats paths, but template does not show a committed row-bound audit packet or verifier result. | C: Official implementation, split files, measures/score folders, stats, and pretrained links support bounded reproduction context, but template does not establish a row-score manifest with target checkpoint and metric provenance sufficient for admitted downstream reporting."
E2P-014,Are Diffusion Models Vulnerable to Membership Inference Attacks?,consumer_or_delta_gate,A=Partial;B=Fail;C=Partial,A=no committed score packet; B=no consumer-ready score packet; C=no compact consumer-bound score manifest,"A: Official implementation and split files are visible but observed surface lacks committed row-bound scores for audit admission. | B: Official SecMI implementation and split files are public, with pretrained model links and score/stats paths, but template does not show a committed row-bound audit packet or verifier result. | C: Official implementation, split files, measures/score folders, stats, and pretrained links support bounded reproduction context, but template does not establish a row-score manifest with target checkpoint and metric provenance sufficient for admitted downstream reporting."
E2P-015,Membership Inference of Diffusion Models,score_or_response_gate,A=Fail;B=Fail;C=Partial,A=no committed reusable score packet; B=no committed reusable score packet; C=target identity and artifact provenance incomplete,"A: README documents member indices pretrained model link and attack outputs but observed surface does not provide immutable row-bound scores. | B: README describes member/nonmember index generation and loss/likelihood outputs, but template does not show committed score rows, metrics, or a consumer-ready manifest. | C: MIDM README describes member/nonmember index generation and attack outputs, but the provided fields do not establish immutable target identity, committed row scores, metric provenance, or a consumer-ready report packet."
E2P-015,Membership Inference of Diffusion Models,metric_gate,A=Partial;B=Fail;C=Partial,A=no committed reusable score packet; B=no committed reusable score packet; C=target identity and artifact provenance incomplete,"A: README documents member indices pretrained model link and attack outputs but observed surface does not provide immutable row-bound scores. | B: README describes member/nonmember index generation and loss/likelihood outputs, but template does not show committed score rows, metrics, or a consumer-ready manifest. | C: MIDM README describes member/nonmember index generation and attack outputs, but the provided fields do not establish immutable target identity, committed row scores, metric provenance, or a consumer-ready report packet."
E2P-015,Membership Inference of Diffusion Models,consumer_or_delta_gate,A=Partial;B=Fail;C=Fail,A=no committed reusable score packet; B=no committed reusable score packet; C=target identity and artifact provenance incomplete,"A: README documents member indices pretrained model link and attack outputs but observed surface does not provide immutable row-bound scores. | B: README describes member/nonmember index generation and loss/likelihood outputs, but template does not show committed score rows, metrics, or a consumer-ready manifest. | C: MIDM README describes member/nonmember index generation and attack outputs, but the provided fields do not establish immutable target identity, committed row scores, metric provenance, or a consumer-ready report packet."
E2P-015,Membership Inference of Diffusion Models,allowed_wording,A=bounded-support;B=candidate-only;C=candidate-only,A=no committed reusable score packet; B=no committed reusable score packet; C=target identity and artifact provenance incomplete,"A: README documents member indices pretrained model link and attack outputs but observed surface does not provide immutable row-bound scores. | B: README describes member/nonmember index generation and loss/likelihood outputs, but template does not show committed score rows, metrics, or a consumer-ready manifest. | C: MIDM README describes member/nonmember index generation and attack outputs, but the provided fields do not establish immutable target identity, committed row scores, metric provenance, or a consumer-ready report packet."
