split,implicit_position,emb_file,emb_line_number,vlm_file,vlm_line_number,row_id_type,boundary
train,0,COCO_emb_500images_train_t_[140].txt,2,COCO_blip_500images_train_t_[140].txt,2,implicit_file_position_only,no explicit public row id; not admitted row binding
train,25,COCO_emb_500images_train_t_[140].txt,27,COCO_blip_500images_train_t_[140].txt,27,implicit_file_position_only,no explicit public row id; not admitted row binding
train,26,COCO_emb_500images_train_t_[140].txt,28,COCO_blip_500images_train_t_[140].txt,28,implicit_file_position_only,no explicit public row id; not admitted row binding
train,27,COCO_emb_500images_train_t_[140].txt,29,COCO_blip_500images_train_t_[140].txt,29,implicit_file_position_only,no explicit public row id; not admitted row binding
train,28,COCO_emb_500images_train_t_[140].txt,30,COCO_blip_500images_train_t_[140].txt,30,implicit_file_position_only,no explicit public row id; not admitted row binding
train,29,COCO_emb_500images_train_t_[140].txt,31,COCO_blip_500images_train_t_[140].txt,31,implicit_file_position_only,no explicit public row id; not admitted row binding
train,30,COCO_emb_500images_train_t_[140].txt,32,COCO_blip_500images_train_t_[140].txt,32,implicit_file_position_only,no explicit public row id; not admitted row binding
train,31,COCO_emb_500images_train_t_[140].txt,33,COCO_blip_500images_train_t_[140].txt,33,implicit_file_position_only,no explicit public row id; not admitted row binding
train,32,COCO_emb_500images_train_t_[140].txt,34,COCO_blip_500images_train_t_[140].txt,34,implicit_file_position_only,no explicit public row id; not admitted row binding
train,33,COCO_emb_500images_train_t_[140].txt,35,COCO_blip_500images_train_t_[140].txt,35,implicit_file_position_only,no explicit public row id; not admitted row binding
train,34,COCO_emb_500images_train_t_[140].txt,36,COCO_blip_500images_train_t_[140].txt,36,implicit_file_position_only,no explicit public row id; not admitted row binding
train,35,COCO_emb_500images_train_t_[140].txt,37,COCO_blip_500images_train_t_[140].txt,37,implicit_file_position_only,no explicit public row id; not admitted row binding
train,36,COCO_emb_500images_train_t_[140].txt,38,COCO_blip_500images_train_t_[140].txt,38,implicit_file_position_only,no explicit public row id; not admitted row binding
train,37,COCO_emb_500images_train_t_[140].txt,39,COCO_blip_500images_train_t_[140].txt,39,implicit_file_position_only,no explicit public row id; not admitted row binding
train,38,COCO_emb_500images_train_t_[140].txt,40,COCO_blip_500images_train_t_[140].txt,40,implicit_file_position_only,no explicit public row id; not admitted row binding
train,39,COCO_emb_500images_train_t_[140].txt,41,COCO_blip_500images_train_t_[140].txt,41,implicit_file_position_only,no explicit public row id; not admitted row binding
train,40,COCO_emb_500images_train_t_[140].txt,42,COCO_blip_500images_train_t_[140].txt,42,implicit_file_position_only,no explicit public row id; not admitted row binding
train,41,COCO_emb_500images_train_t_[140].txt,43,COCO_blip_500images_train_t_[140].txt,43,implicit_file_position_only,no explicit public row id; not admitted row binding
train,42,COCO_emb_500images_train_t_[140].txt,44,COCO_blip_500images_train_t_[140].txt,44,implicit_file_position_only,no explicit public row id; not admitted row binding
train,43,COCO_emb_500images_train_t_[140].txt,45,COCO_blip_500images_train_t_[140].txt,45,implicit_file_position_only,no explicit public row id; not admitted row binding
train,44,COCO_emb_500images_train_t_[140].txt,46,COCO_blip_500images_train_t_[140].txt,46,implicit_file_position_only,no explicit public row id; not admitted row binding
train,45,COCO_emb_500images_train_t_[140].txt,47,COCO_blip_500images_train_t_[140].txt,47,implicit_file_position_only,no explicit public row id; not admitted row binding
train,46,COCO_emb_500images_train_t_[140].txt,48,COCO_blip_500images_train_t_[140].txt,48,implicit_file_position_only,no explicit public row id; not admitted row binding
train,47,COCO_emb_500images_train_t_[140].txt,49,COCO_blip_500images_train_t_[140].txt,49,implicit_file_position_only,no explicit public row id; not admitted row binding
train,48,COCO_emb_500images_train_t_[140].txt,50,COCO_blip_500images_train_t_[140].txt,50,implicit_file_position_only,no explicit public row id; not admitted row binding
train,49,COCO_emb_500images_train_t_[140].txt,51,COCO_blip_500images_train_t_[140].txt,51,implicit_file_position_only,no explicit public row id; not admitted row binding
train,50,COCO_emb_500images_train_t_[140].txt,52,COCO_blip_500images_train_t_[140].txt,52,implicit_file_position_only,no explicit public row id; not admitted row binding
train,51,COCO_emb_500images_train_t_[140].txt,53,COCO_blip_500images_train_t_[140].txt,53,implicit_file_position_only,no explicit public row id; not admitted row binding
train,52,COCO_emb_500images_train_t_[140].txt,54,COCO_blip_500images_train_t_[140].txt,54,implicit_file_position_only,no explicit public row id; not admitted row binding
train,53,COCO_emb_500images_train_t_[140].txt,55,COCO_blip_500images_train_t_[140].txt,55,implicit_file_position_only,no explicit public row id; not admitted row binding
train,54,COCO_emb_500images_train_t_[140].txt,56,COCO_blip_500images_train_t_[140].txt,56,implicit_file_position_only,no explicit public row id; not admitted row binding
train,55,COCO_emb_500images_train_t_[140].txt,57,COCO_blip_500images_train_t_[140].txt,57,implicit_file_position_only,no explicit public row id; not admitted row binding
train,56,COCO_emb_500images_train_t_[140].txt,58,COCO_blip_500images_train_t_[140].txt,58,implicit_file_position_only,no explicit public row id; not admitted row binding
train,57,COCO_emb_500images_train_t_[140].txt,59,COCO_blip_500images_train_t_[140].txt,59,implicit_file_position_only,no explicit public row id; not admitted row binding
train,58,COCO_emb_500images_train_t_[140].txt,60,COCO_blip_500images_train_t_[140].txt,60,implicit_file_position_only,no explicit public row id; not admitted row binding
train,59,COCO_emb_500images_train_t_[140].txt,61,COCO_blip_500images_train_t_[140].txt,61,implicit_file_position_only,no explicit public row id; not admitted row binding
train,60,COCO_emb_500images_train_t_[140].txt,62,COCO_blip_500images_train_t_[140].txt,62,implicit_file_position_only,no explicit public row id; not admitted row binding
train,61,COCO_emb_500images_train_t_[140].txt,63,COCO_blip_500images_train_t_[140].txt,63,implicit_file_position_only,no explicit public row id; not admitted row binding
train,62,COCO_emb_500images_train_t_[140].txt,64,COCO_blip_500images_train_t_[140].txt,64,implicit_file_position_only,no explicit public row id; not admitted row binding
train,63,COCO_emb_500images_train_t_[140].txt,65,COCO_blip_500images_train_t_[140].txt,65,implicit_file_position_only,no explicit public row id; not admitted row binding
train,64,COCO_emb_500images_train_t_[140].txt,66,COCO_blip_500images_train_t_[140].txt,66,implicit_file_position_only,no explicit public row id; not admitted row binding
train,65,COCO_emb_500images_train_t_[140].txt,67,COCO_blip_500images_train_t_[140].txt,67,implicit_file_position_only,no explicit public row id; not admitted row binding
train,66,COCO_emb_500images_train_t_[140].txt,68,COCO_blip_500images_train_t_[140].txt,68,implicit_file_position_only,no explicit public row id; not admitted row binding
train,67,COCO_emb_500images_train_t_[140].txt,69,COCO_blip_500images_train_t_[140].txt,69,implicit_file_position_only,no explicit public row id; not admitted row binding
train,68,COCO_emb_500images_train_t_[140].txt,70,COCO_blip_500images_train_t_[140].txt,70,implicit_file_position_only,no explicit public row id; not admitted row binding
train,69,COCO_emb_500images_train_t_[140].txt,71,COCO_blip_500images_train_t_[140].txt,71,implicit_file_position_only,no explicit public row id; not admitted row binding
train,70,COCO_emb_500images_train_t_[140].txt,72,COCO_blip_500images_train_t_[140].txt,72,implicit_file_position_only,no explicit public row id; not admitted row binding
train,71,COCO_emb_500images_train_t_[140].txt,73,COCO_blip_500images_train_t_[140].txt,73,implicit_file_position_only,no explicit public row id; not admitted row binding
train,72,COCO_emb_500images_train_t_[140].txt,74,COCO_blip_500images_train_t_[140].txt,74,implicit_file_position_only,no explicit public row id; not admitted row binding
train,73,COCO_emb_500images_train_t_[140].txt,75,COCO_blip_500images_train_t_[140].txt,75,implicit_file_position_only,no explicit public row id; not admitted row binding
train,74,COCO_emb_500images_train_t_[140].txt,76,COCO_blip_500images_train_t_[140].txt,76,implicit_file_position_only,no explicit public row id; not admitted row binding
train,75,COCO_emb_500images_train_t_[140].txt,77,COCO_blip_500images_train_t_[140].txt,77,implicit_file_position_only,no explicit public row id; not admitted row binding
train,76,COCO_emb_500images_train_t_[140].txt,78,COCO_blip_500images_train_t_[140].txt,78,implicit_file_position_only,no explicit public row id; not admitted row binding
train,77,COCO_emb_500images_train_t_[140].txt,79,COCO_blip_500images_train_t_[140].txt,79,implicit_file_position_only,no explicit public row id; not admitted row binding
train,78,COCO_emb_500images_train_t_[140].txt,80,COCO_blip_500images_train_t_[140].txt,80,implicit_file_position_only,no explicit public row id; not admitted row binding
train,79,COCO_emb_500images_train_t_[140].txt,81,COCO_blip_500images_train_t_[140].txt,81,implicit_file_position_only,no explicit public row id; not admitted row binding
train,80,COCO_emb_500images_train_t_[140].txt,82,COCO_blip_500images_train_t_[140].txt,82,implicit_file_position_only,no explicit public row id; not admitted row binding
train,81,COCO_emb_500images_train_t_[140].txt,83,COCO_blip_500images_train_t_[140].txt,83,implicit_file_position_only,no explicit public row id; not admitted row binding
train,82,COCO_emb_500images_train_t_[140].txt,84,COCO_blip_500images_train_t_[140].txt,84,implicit_file_position_only,no explicit public row id; not admitted row binding
train,83,COCO_emb_500images_train_t_[140].txt,85,COCO_blip_500images_train_t_[140].txt,85,implicit_file_position_only,no explicit public row id; not admitted row binding
train,84,COCO_emb_500images_train_t_[140].txt,86,COCO_blip_500images_train_t_[140].txt,86,implicit_file_position_only,no explicit public row id; not admitted row binding
train,85,COCO_emb_500images_train_t_[140].txt,87,COCO_blip_500images_train_t_[140].txt,87,implicit_file_position_only,no explicit public row id; not admitted row binding
train,86,COCO_emb_500images_train_t_[140].txt,88,COCO_blip_500images_train_t_[140].txt,88,implicit_file_position_only,no explicit public row id; not admitted row binding
train,87,COCO_emb_500images_train_t_[140].txt,89,COCO_blip_500images_train_t_[140].txt,89,implicit_file_position_only,no explicit public row id; not admitted row binding
train,88,COCO_emb_500images_train_t_[140].txt,90,COCO_blip_500images_train_t_[140].txt,90,implicit_file_position_only,no explicit public row id; not admitted row binding
train,89,COCO_emb_500images_train_t_[140].txt,91,COCO_blip_500images_train_t_[140].txt,91,implicit_file_position_only,no explicit public row id; not admitted row binding
train,90,COCO_emb_500images_train_t_[140].txt,92,COCO_blip_500images_train_t_[140].txt,92,implicit_file_position_only,no explicit public row id; not admitted row binding
train,91,COCO_emb_500images_train_t_[140].txt,93,COCO_blip_500images_train_t_[140].txt,93,implicit_file_position_only,no explicit public row id; not admitted row binding
train,92,COCO_emb_500images_train_t_[140].txt,94,COCO_blip_500images_train_t_[140].txt,94,implicit_file_position_only,no explicit public row id; not admitted row binding
train,93,COCO_emb_500images_train_t_[140].txt,95,COCO_blip_500images_train_t_[140].txt,95,implicit_file_position_only,no explicit public row id; not admitted row binding
train,94,COCO_emb_500images_train_t_[140].txt,96,COCO_blip_500images_train_t_[140].txt,96,implicit_file_position_only,no explicit public row id; not admitted row binding
train,95,COCO_emb_500images_train_t_[140].txt,97,COCO_blip_500images_train_t_[140].txt,97,implicit_file_position_only,no explicit public row id; not admitted row binding
train,96,COCO_emb_500images_train_t_[140].txt,98,COCO_blip_500images_train_t_[140].txt,98,implicit_file_position_only,no explicit public row id; not admitted row binding
train,97,COCO_emb_500images_train_t_[140].txt,99,COCO_blip_500images_train_t_[140].txt,99,implicit_file_position_only,no explicit public row id; not admitted row binding
train,98,COCO_emb_500images_train_t_[140].txt,100,COCO_blip_500images_train_t_[140].txt,100,implicit_file_position_only,no explicit public row id; not admitted row binding
train,99,COCO_emb_500images_train_t_[140].txt,101,COCO_blip_500images_train_t_[140].txt,101,implicit_file_position_only,no explicit public row id; not admitted row binding
train,100,COCO_emb_500images_train_t_[140].txt,102,COCO_blip_500images_train_t_[140].txt,102,implicit_file_position_only,no explicit public row id; not admitted row binding
train,101,COCO_emb_500images_train_t_[140].txt,103,COCO_blip_500images_train_t_[140].txt,103,implicit_file_position_only,no explicit public row id; not admitted row binding
train,102,COCO_emb_500images_train_t_[140].txt,104,COCO_blip_500images_train_t_[140].txt,104,implicit_file_position_only,no explicit public row id; not admitted row binding
train,103,COCO_emb_500images_train_t_[140].txt,105,COCO_blip_500images_train_t_[140].txt,105,implicit_file_position_only,no explicit public row id; not admitted row binding
train,104,COCO_emb_500images_train_t_[140].txt,106,COCO_blip_500images_train_t_[140].txt,106,implicit_file_position_only,no explicit public row id; not admitted row binding
train,105,COCO_emb_500images_train_t_[140].txt,107,COCO_blip_500images_train_t_[140].txt,107,implicit_file_position_only,no explicit public row id; not admitted row binding
train,106,COCO_emb_500images_train_t_[140].txt,108,COCO_blip_500images_train_t_[140].txt,108,implicit_file_position_only,no explicit public row id; not admitted row binding
train,107,COCO_emb_500images_train_t_[140].txt,109,COCO_blip_500images_train_t_[140].txt,109,implicit_file_position_only,no explicit public row id; not admitted row binding
train,108,COCO_emb_500images_train_t_[140].txt,110,COCO_blip_500images_train_t_[140].txt,110,implicit_file_position_only,no explicit public row id; not admitted row binding
train,109,COCO_emb_500images_train_t_[140].txt,111,COCO_blip_500images_train_t_[140].txt,111,implicit_file_position_only,no explicit public row id; not admitted row binding
train,110,COCO_emb_500images_train_t_[140].txt,112,COCO_blip_500images_train_t_[140].txt,112,implicit_file_position_only,no explicit public row id; not admitted row binding
train,111,COCO_emb_500images_train_t_[140].txt,113,COCO_blip_500images_train_t_[140].txt,113,implicit_file_position_only,no explicit public row id; not admitted row binding
train,112,COCO_emb_500images_train_t_[140].txt,114,COCO_blip_500images_train_t_[140].txt,114,implicit_file_position_only,no explicit public row id; not admitted row binding
train,113,COCO_emb_500images_train_t_[140].txt,115,COCO_blip_500images_train_t_[140].txt,115,implicit_file_position_only,no explicit public row id; not admitted row binding
train,114,COCO_emb_500images_train_t_[140].txt,116,COCO_blip_500images_train_t_[140].txt,116,implicit_file_position_only,no explicit public row id; not admitted row binding
train,115,COCO_emb_500images_train_t_[140].txt,117,COCO_blip_500images_train_t_[140].txt,117,implicit_file_position_only,no explicit public row id; not admitted row binding
train,116,COCO_emb_500images_train_t_[140].txt,118,COCO_blip_500images_train_t_[140].txt,118,implicit_file_position_only,no explicit public row id; not admitted row binding
train,117,COCO_emb_500images_train_t_[140].txt,119,COCO_blip_500images_train_t_[140].txt,119,implicit_file_position_only,no explicit public row id; not admitted row binding
train,118,COCO_emb_500images_train_t_[140].txt,120,COCO_blip_500images_train_t_[140].txt,120,implicit_file_position_only,no explicit public row id; not admitted row binding
train,119,COCO_emb_500images_train_t_[140].txt,121,COCO_blip_500images_train_t_[140].txt,121,implicit_file_position_only,no explicit public row id; not admitted row binding
train,120,COCO_emb_500images_train_t_[140].txt,122,COCO_blip_500images_train_t_[140].txt,122,implicit_file_position_only,no explicit public row id; not admitted row binding
train,121,COCO_emb_500images_train_t_[140].txt,123,COCO_blip_500images_train_t_[140].txt,123,implicit_file_position_only,no explicit public row id; not admitted row binding
train,122,COCO_emb_500images_train_t_[140].txt,124,COCO_blip_500images_train_t_[140].txt,124,implicit_file_position_only,no explicit public row id; not admitted row binding
train,123,COCO_emb_500images_train_t_[140].txt,125,COCO_blip_500images_train_t_[140].txt,125,implicit_file_position_only,no explicit public row id; not admitted row binding
train,124,COCO_emb_500images_train_t_[140].txt,126,COCO_blip_500images_train_t_[140].txt,126,implicit_file_position_only,no explicit public row id; not admitted row binding
train,125,COCO_emb_500images_train_t_[140].txt,127,COCO_blip_500images_train_t_[140].txt,127,implicit_file_position_only,no explicit public row id; not admitted row binding
train,126,COCO_emb_500images_train_t_[140].txt,128,COCO_blip_500images_train_t_[140].txt,128,implicit_file_position_only,no explicit public row id; not admitted row binding
train,127,COCO_emb_500images_train_t_[140].txt,129,COCO_blip_500images_train_t_[140].txt,129,implicit_file_position_only,no explicit public row id; not admitted row binding
train,128,COCO_emb_500images_train_t_[140].txt,130,COCO_blip_500images_train_t_[140].txt,130,implicit_file_position_only,no explicit public row id; not admitted row binding
train,129,COCO_emb_500images_train_t_[140].txt,131,COCO_blip_500images_train_t_[140].txt,131,implicit_file_position_only,no explicit public row id; not admitted row binding
train,130,COCO_emb_500images_train_t_[140].txt,132,COCO_blip_500images_train_t_[140].txt,132,implicit_file_position_only,no explicit public row id; not admitted row binding
train,131,COCO_emb_500images_train_t_[140].txt,133,COCO_blip_500images_train_t_[140].txt,133,implicit_file_position_only,no explicit public row id; not admitted row binding
train,132,COCO_emb_500images_train_t_[140].txt,134,COCO_blip_500images_train_t_[140].txt,134,implicit_file_position_only,no explicit public row id; not admitted row binding
train,133,COCO_emb_500images_train_t_[140].txt,135,COCO_blip_500images_train_t_[140].txt,135,implicit_file_position_only,no explicit public row id; not admitted row binding
train,134,COCO_emb_500images_train_t_[140].txt,136,COCO_blip_500images_train_t_[140].txt,136,implicit_file_position_only,no explicit public row id; not admitted row binding
train,135,COCO_emb_500images_train_t_[140].txt,137,COCO_blip_500images_train_t_[140].txt,137,implicit_file_position_only,no explicit public row id; not admitted row binding
train,136,COCO_emb_500images_train_t_[140].txt,138,COCO_blip_500images_train_t_[140].txt,138,implicit_file_position_only,no explicit public row id; not admitted row binding
train,137,COCO_emb_500images_train_t_[140].txt,139,COCO_blip_500images_train_t_[140].txt,139,implicit_file_position_only,no explicit public row id; not admitted row binding
train,138,COCO_emb_500images_train_t_[140].txt,140,COCO_blip_500images_train_t_[140].txt,140,implicit_file_position_only,no explicit public row id; not admitted row binding
train,139,COCO_emb_500images_train_t_[140].txt,141,COCO_blip_500images_train_t_[140].txt,141,implicit_file_position_only,no explicit public row id; not admitted row binding
train,140,COCO_emb_500images_train_t_[140].txt,142,COCO_blip_500images_train_t_[140].txt,142,implicit_file_position_only,no explicit public row id; not admitted row binding
train,141,COCO_emb_500images_train_t_[140].txt,143,COCO_blip_500images_train_t_[140].txt,143,implicit_file_position_only,no explicit public row id; not admitted row binding
train,142,COCO_emb_500images_train_t_[140].txt,144,COCO_blip_500images_train_t_[140].txt,144,implicit_file_position_only,no explicit public row id; not admitted row binding
train,143,COCO_emb_500images_train_t_[140].txt,145,COCO_blip_500images_train_t_[140].txt,145,implicit_file_position_only,no explicit public row id; not admitted row binding
train,144,COCO_emb_500images_train_t_[140].txt,146,COCO_blip_500images_train_t_[140].txt,146,implicit_file_position_only,no explicit public row id; not admitted row binding
train,145,COCO_emb_500images_train_t_[140].txt,147,COCO_blip_500images_train_t_[140].txt,147,implicit_file_position_only,no explicit public row id; not admitted row binding
train,146,COCO_emb_500images_train_t_[140].txt,148,COCO_blip_500images_train_t_[140].txt,148,implicit_file_position_only,no explicit public row id; not admitted row binding
train,147,COCO_emb_500images_train_t_[140].txt,149,COCO_blip_500images_train_t_[140].txt,149,implicit_file_position_only,no explicit public row id; not admitted row binding
train,148,COCO_emb_500images_train_t_[140].txt,150,COCO_blip_500images_train_t_[140].txt,150,implicit_file_position_only,no explicit public row id; not admitted row binding
train,149,COCO_emb_500images_train_t_[140].txt,151,COCO_blip_500images_train_t_[140].txt,151,implicit_file_position_only,no explicit public row id; not admitted row binding
train,150,COCO_emb_500images_train_t_[140].txt,152,COCO_blip_500images_train_t_[140].txt,152,implicit_file_position_only,no explicit public row id; not admitted row binding
train,151,COCO_emb_500images_train_t_[140].txt,153,COCO_blip_500images_train_t_[140].txt,153,implicit_file_position_only,no explicit public row id; not admitted row binding
train,152,COCO_emb_500images_train_t_[140].txt,154,COCO_blip_500images_train_t_[140].txt,154,implicit_file_position_only,no explicit public row id; not admitted row binding
train,153,COCO_emb_500images_train_t_[140].txt,155,COCO_blip_500images_train_t_[140].txt,155,implicit_file_position_only,no explicit public row id; not admitted row binding
train,154,COCO_emb_500images_train_t_[140].txt,156,COCO_blip_500images_train_t_[140].txt,156,implicit_file_position_only,no explicit public row id; not admitted row binding
train,155,COCO_emb_500images_train_t_[140].txt,157,COCO_blip_500images_train_t_[140].txt,157,implicit_file_position_only,no explicit public row id; not admitted row binding
train,156,COCO_emb_500images_train_t_[140].txt,158,COCO_blip_500images_train_t_[140].txt,158,implicit_file_position_only,no explicit public row id; not admitted row binding
train,157,COCO_emb_500images_train_t_[140].txt,159,COCO_blip_500images_train_t_[140].txt,159,implicit_file_position_only,no explicit public row id; not admitted row binding
train,158,COCO_emb_500images_train_t_[140].txt,160,COCO_blip_500images_train_t_[140].txt,160,implicit_file_position_only,no explicit public row id; not admitted row binding
train,159,COCO_emb_500images_train_t_[140].txt,161,COCO_blip_500images_train_t_[140].txt,161,implicit_file_position_only,no explicit public row id; not admitted row binding
train,160,COCO_emb_500images_train_t_[140].txt,162,COCO_blip_500images_train_t_[140].txt,162,implicit_file_position_only,no explicit public row id; not admitted row binding
train,161,COCO_emb_500images_train_t_[140].txt,163,COCO_blip_500images_train_t_[140].txt,163,implicit_file_position_only,no explicit public row id; not admitted row binding
train,162,COCO_emb_500images_train_t_[140].txt,164,COCO_blip_500images_train_t_[140].txt,164,implicit_file_position_only,no explicit public row id; not admitted row binding
train,163,COCO_emb_500images_train_t_[140].txt,165,COCO_blip_500images_train_t_[140].txt,165,implicit_file_position_only,no explicit public row id; not admitted row binding
train,164,COCO_emb_500images_train_t_[140].txt,166,COCO_blip_500images_train_t_[140].txt,166,implicit_file_position_only,no explicit public row id; not admitted row binding
train,165,COCO_emb_500images_train_t_[140].txt,167,COCO_blip_500images_train_t_[140].txt,167,implicit_file_position_only,no explicit public row id; not admitted row binding
train,166,COCO_emb_500images_train_t_[140].txt,168,COCO_blip_500images_train_t_[140].txt,168,implicit_file_position_only,no explicit public row id; not admitted row binding
train,167,COCO_emb_500images_train_t_[140].txt,169,COCO_blip_500images_train_t_[140].txt,169,implicit_file_position_only,no explicit public row id; not admitted row binding
train,168,COCO_emb_500images_train_t_[140].txt,170,COCO_blip_500images_train_t_[140].txt,170,implicit_file_position_only,no explicit public row id; not admitted row binding
train,169,COCO_emb_500images_train_t_[140].txt,171,COCO_blip_500images_train_t_[140].txt,171,implicit_file_position_only,no explicit public row id; not admitted row binding
train,170,COCO_emb_500images_train_t_[140].txt,172,COCO_blip_500images_train_t_[140].txt,172,implicit_file_position_only,no explicit public row id; not admitted row binding
train,171,COCO_emb_500images_train_t_[140].txt,173,COCO_blip_500images_train_t_[140].txt,173,implicit_file_position_only,no explicit public row id; not admitted row binding
train,172,COCO_emb_500images_train_t_[140].txt,174,COCO_blip_500images_train_t_[140].txt,174,implicit_file_position_only,no explicit public row id; not admitted row binding
train,173,COCO_emb_500images_train_t_[140].txt,175,COCO_blip_500images_train_t_[140].txt,175,implicit_file_position_only,no explicit public row id; not admitted row binding
train,174,COCO_emb_500images_train_t_[140].txt,176,COCO_blip_500images_train_t_[140].txt,176,implicit_file_position_only,no explicit public row id; not admitted row binding
train,175,COCO_emb_500images_train_t_[140].txt,177,COCO_blip_500images_train_t_[140].txt,177,implicit_file_position_only,no explicit public row id; not admitted row binding
train,176,COCO_emb_500images_train_t_[140].txt,178,COCO_blip_500images_train_t_[140].txt,178,implicit_file_position_only,no explicit public row id; not admitted row binding
train,177,COCO_emb_500images_train_t_[140].txt,179,COCO_blip_500images_train_t_[140].txt,179,implicit_file_position_only,no explicit public row id; not admitted row binding
train,178,COCO_emb_500images_train_t_[140].txt,180,COCO_blip_500images_train_t_[140].txt,180,implicit_file_position_only,no explicit public row id; not admitted row binding
train,179,COCO_emb_500images_train_t_[140].txt,181,COCO_blip_500images_train_t_[140].txt,181,implicit_file_position_only,no explicit public row id; not admitted row binding
train,180,COCO_emb_500images_train_t_[140].txt,182,COCO_blip_500images_train_t_[140].txt,182,implicit_file_position_only,no explicit public row id; not admitted row binding
train,181,COCO_emb_500images_train_t_[140].txt,183,COCO_blip_500images_train_t_[140].txt,183,implicit_file_position_only,no explicit public row id; not admitted row binding
train,182,COCO_emb_500images_train_t_[140].txt,184,COCO_blip_500images_train_t_[140].txt,184,implicit_file_position_only,no explicit public row id; not admitted row binding
train,183,COCO_emb_500images_train_t_[140].txt,185,COCO_blip_500images_train_t_[140].txt,185,implicit_file_position_only,no explicit public row id; not admitted row binding
train,184,COCO_emb_500images_train_t_[140].txt,186,COCO_blip_500images_train_t_[140].txt,186,implicit_file_position_only,no explicit public row id; not admitted row binding
train,185,COCO_emb_500images_train_t_[140].txt,187,COCO_blip_500images_train_t_[140].txt,187,implicit_file_position_only,no explicit public row id; not admitted row binding
train,186,COCO_emb_500images_train_t_[140].txt,188,COCO_blip_500images_train_t_[140].txt,188,implicit_file_position_only,no explicit public row id; not admitted row binding
