bib_key,entry_type,title,year,identifier_kind,identifier_value,verification_url,http_status,verification_status,verification_note,metadata_status,metadata_source,metadata_note,checked_at_utc
rediffuse2025,inproceedings,Towards Black-Box Membership Inference Attack for Diffusion Models,2025,url,https://proceedings.mlr.press/v267/li25k.html,https://proceedings.mlr.press/v267/li25k.html,200,verified,verified: reference URL resolved,verified,url_payload,verified: title token coverage=1.00,2026-06-09T08:29:16Z
jeon2026mofit,inproceedings,"No Caption, No Problem: Caption-Free Membership Inference via Model-Fitted Embeddings",2026,arxiv_abs,2602.22689,https://arxiv.org/abs/2602.22689,200,verified,verified: arXiv abstract resolved,verified,doi_csl_json,verified: title/year match via https://doi.org/10.48550/arXiv.2602.22689,2026-06-09T08:29:16Z
carlini2022firstprinciples,inproceedings,Membership Inference Attacks From First Principles,2022,doi_handle,10.1109/SP46214.2022.9833649,https://doi.org/api/handles/10.1109/SP46214.2022.9833649,200,verified,verified: DOI handle exists,verified,doi_csl_json,verified: title/year match via https://doi.org/10.1109/SP46214.2022.9833649,2026-06-09T08:29:16Z
herley2017sokscience,inproceedings,"{SoK}: Science, Security, and the Elusive Goal of Security as a Scientific Pursuit",2017,doi_handle,10.1109/SP.2017.38,https://doi.org/api/handles/10.1109/SP.2017.38,200,verified,verified: DOI handle exists,verified,doi_csl_json,verified: title/year match via https://doi.org/10.1109/SP.2017.38,2026-06-09T08:29:16Z
vanderkouwe2020benchmarking,article,Benchmarking Flaws Undermine Security Research,2020,doi_handle,10.1109/MSEC.2020.2969862,https://doi.org/api/handles/10.1109/MSEC.2020.2969862,200,verified,verified: DOI handle exists,verified,doi_csl_json,verified: title/year match via https://doi.org/10.1109/MSEC.2020.2969862,2026-06-09T08:29:16Z
zhang2025cannotprove,inproceedings,Position: Membership Inference Attacks Cannot Prove That a Model was Trained on Your Data,2025,doi_handle,10.1109/SaTML64287.2025.00025,https://doi.org/api/handles/10.1109/SaTML64287.2025.00025,200,verified,verified: DOI handle exists,verified,doi_csl_json,verified: title/year match via https://doi.org/10.1109/SaTML64287.2025.00025,2026-06-09T08:29:16Z
das2025blind,misc,Blind Baselines Beat Membership Inference Attacks for Foundation Models,2024,arxiv_abs,2406.16201,https://arxiv.org/abs/2406.16201,200,verified,verified: arXiv abstract resolved,verified,doi_csl_json,verified: title/year match via https://doi.org/10.48550/arXiv.2406.16201,2026-06-09T08:29:16Z
pineau2021reproducibility,article,Improving Reproducibility in Machine Learning Research (A Report from the NeurIPS 2019 Reproducibility Program),2021,url,https://jmlr.org/papers/v22/20-303.html,https://jmlr.org/papers/v22/20-303.html,200,verified,verified: reference URL resolved,verified,url_payload,verified: title token coverage=1.00,2026-06-09T08:29:16Z
gebru2021datasheets,article,Datasheets for Datasets,2021,doi_handle,10.1145/3458723,https://doi.org/api/handles/10.1145/3458723,200,verified,verified: DOI handle exists,verified,doi_csl_json,verified: title/year match via https://doi.org/10.1145/3458723,2026-06-09T08:29:16Z
mitchell2019modelcards,inproceedings,Model Cards for Model Reporting,2019,doi_handle,10.1145/3287560.3287596,https://doi.org/api/handles/10.1145/3287560.3287596,200,verified,verified: DOI handle exists,verified,doi_csl_json,verified: title/year match via https://doi.org/10.1145/3287560.3287596,2026-06-09T08:29:16Z
ho2020ddpm,inproceedings,Denoising Diffusion Probabilistic Models,2020,url,https://proceedings.neurips.cc/paper/2020/hash/4c5bcfec8584af0d967f1ab10179ca4b-Abstract.html,https://proceedings.neurips.cc/paper/2020/hash/4c5bcfec8584af0d967f1ab10179ca4b-Abstract.html,200,verified,verified: reference URL resolved,verified,url_payload,verified: title token coverage=1.00,2026-06-09T08:29:16Z
rombach2022ldm,inproceedings,High-Resolution Image Synthesis with Latent Diffusion Models,2022,doi_handle,10.1109/CVPR52688.2022.01042,https://doi.org/api/handles/10.1109/CVPR52688.2022.01042,200,verified,verified: DOI handle exists,verified,doi_csl_json,verified: title/year match via https://doi.org/10.1109/CVPR52688.2022.01042,2026-06-09T08:29:16Z
dockhorn2023private,article,Differentially Private Diffusion Models,2023,url,https://openreview.net/forum?id=ZPpQk7FJXF,https://openreview.net/forum?id=ZPpQk7FJXF,200,verified,verified: reference URL resolved,verified,url_payload,verified: title token coverage=1.00,2026-06-09T08:29:16Z
liang2024copymark,misc,Real-World Benchmarks Make Membership Inference Attacks Fail on Diffusion Models,2024,arxiv_abs,2410.03640,https://arxiv.org/abs/2410.03640,200,verified,verified: arXiv abstract resolved,verified,doi_csl_json,verified: title/year match via https://doi.org/10.48550/arXiv.2410.03640,2026-06-09T08:29:16Z
midst2026challenge,misc,{MIDST} Challenge at {SaTML} 2025: Membership Inference over Diffusion-models-based Synthetic Tabular Data,2026,arxiv_abs,2603.19185,https://arxiv.org/abs/2603.19185,200,verified,verified: arXiv abstract resolved,verified,doi_csl_json,verified: title/year match via https://doi.org/10.48550/arXiv.2603.19185,2026-06-09T08:29:16Z
lian2026noiseprobe,misc,Noise as a Probe: Membership Inference Attacks on Diffusion Models Leveraging Initial Noise,2026,arxiv_abs,2601.21628,https://arxiv.org/abs/2601.21628,200,verified,verified: arXiv abstract resolved,verified,doi_csl_json,verified: title/year match via https://doi.org/10.48550/arXiv.2601.21628,2026-06-09T08:29:16Z
dubinski2025cdi,inproceedings,{CDI}: Copyrighted Data Identification in Diffusion Models,2025,doi_handle,10.1109/CVPR52734.2025.01740,https://doi.org/api/handles/10.1109/CVPR52734.2025.01740,200,verified,verified: DOI handle exists,verified,doi_csl_json,verified: title/year match via https://doi.org/10.1109/CVPR52734.2025.01740,2026-06-09T08:29:16Z
