citation_id,main_tex_line,paper_section,cited_keys,claim_text_anchor,expected_source_support,manuscript_claim_role,source_content_status,audit_status,boundary_note
CCA-014,149,Related Work / Diffusion Memorization and MIA,rediffuse2025;reconstruction2025blackbox,black-box response or reconstruction methods,Black-box diffusion MIA methods based on responses or reconstruction comparisons.,access-surface-taxonomy,metadata_verified; full-text L3 pending,pass_context_inventory,"Taxonomy support; current ReDiffuse rows are route-local, not method refutations."
CCA-015,150,Related Work / Diffusion Memorization and MIA,jeon2026mofit,caption-free fitted-embedding scores,MoFit caption-free fitted-embedding membership-inference setup.,support-only-boundary-background,metadata_verified; full-text L3 pending,pass_context_inventory,MoFit is cited as a method/background surface; public score-file replay remains support-only.
CCA-016,151,Related Work / Diffusion Memorization and MIA,gsa2025whitebox,white-box gradient attacks,White-box gradient membership inference against diffusion models.,access-surface-taxonomy,metadata_verified; full-text L3 pending,pass_context_inventory,White-box comparator support; no black-box admission follows from this citation.
CCA-017,153,Related Work / Diffusion Memorization and MIA,lian2026noiseprobe,noise-schedule surfaces,Initial-noise probing as an additional diffusion MIA surface.,taxonomy-expansion-background,metadata_verified; full-text L3 pending,pass_context_inventory,Taxonomy expansion only; not included as current admitted evidence.
CCA-018,155,Related Work / Diffusion Memorization and MIA,dockhorn2023private;liang2024copymark;midst2026challenge;dubinski2025cdi,"defense, benchmark, and dataset-level contracts change what a result can mean","Examples where defense settings, benchmark contracts, tabular challenge setup, or dataset-level identification alter claim semantics.",contract-boundary-background,metadata_verified; full-text L3 pending,pass_context_inventory,"Boundary framing; CopyMark, MIDST, and CDI remain support/route evidence unless row-bound gates pass."
CCA-019,160,Related Work / Reporting and Reproducibility Artifacts,pineau2021reproducibility;gebru2021datasheets;mitchell2019modelcards,"Reproducibility checklists, datasheets, and model cards document data, code, conditions, origins, limitations, and intended use","Reproducibility checklist, datasheet, and model-card reporting norms.",artifact-reporting-background,metadata_verified; full-text L3 pending,pass_context_inventory,"Reporting-norm support; DiffAudit gates are a project protocol, not an external standard."
CCA-020,185,Audit Surfaces,duan2023secmi;kong2024pia;zha2024clid;rediffuse2025;reconstruction2025blackbox;gsa2025whitebox,group prior diffusion MIA artifacts by access surface,"Representative prior artifacts for gray-box, black-box, and white-box grouping.",taxonomy-operationalization,metadata_verified; full-text L3 pending,pass_context_inventory,Grouping support only; not a complete literature census.
CCA-021,243,Claim-Admission Protocol,carlini2022firstprinciples,Low-FPR metrics are reported as finite empirical packet readouts,Metric and tail-rate interpretation caution for membership inference.,finite-tail-caution,metadata_verified; full-text L3 pending,pass_context_inventory,Supports finite empirical wording; no calibrated population-risk claim.
CCA-022,368,Claim-Admission Protocol,carlini2022firstprinciples,calibrated-risk language would overstate the measurement resolution,"Base-rate, threshold, and low-FPR caution motivates bounded packet wording.",finite-tail-caution,metadata_verified; full-text L3 pending,pass_context_inventory,Supports cautionary wording only; no new empirical claim.
CCA-023,617,Admitted Rows Table,reconstruction2025blackbox,recon DDIM public-100 step30,Source for the black-box reconstruction row name and method context.,row-source-label,metadata_verified; full-text L3 pending,pass_context_inventory,Table citation identifies row family; local packet controls the exact reported point wording.
CCA-024,620,Admitted Rows Table,gsa2025whitebox,GSA 1k-3shadow,Source for the white-box GSA row family.,row-source-label,metadata_verified; full-text L3 pending,pass_context_inventory,White-box upper-bound comparator; not black-box report evidence.
CCA-025,621,Admitted Rows Table,gsa2025whitebox;dockhorn2023private,GSA against DPDM W-1,Sources for the white-box GSA attack family and the DPDM target/defense setting.,row-source-label,metadata_verified; full-text L3 pending,pass_context_inventory,Defense bridge row; does not imply defended black-box product readiness.
CCA-026,641,Metric-Strength Boundary Case: H2 Output-Cloud,rediffuse2025;reconstruction2025blackbox,black-box variation and reconstruction attacks that compare a query with returned or averaged outputs,Contrast sources for query-to-output and response/reconstruction black-box attacks.,method-contrast-background,metadata_verified; full-text L3 pending,pass_context_inventory,Contrast only; H2 remains candidate-only and non-admitted.
CCA-027,698,Negative and Support Evidence,rediffuse2025,The routes cover ReDiffuse,Source for the ReDiffuse route family.,route-source-label,metadata_verified; full-text L3 pending,pass_context_inventory,Route-local evidence only; no general ReDiffuse refutation.
CCA-028,699,Negative and Support Evidence,liang2024copymark,surface associated with CopyMark materials,Source for CopyMark/CommonCanvas route materials.,route-source-label,metadata_verified; full-text L3 pending,pass_context_inventory,Support/route context only; no second admitted public asset.
CCA-029,699,Negative and Support Evidence,midst2026challenge,MIDST,Source for the MIDST tabular synthetic-data challenge route surface.,route-source-label,metadata_verified; full-text L3 pending,pass_context_inventory,Tabular route context only; no image-diffusion admitted evidence.
CCA-030,700,Negative and Support Evidence,tracingroots2025,the Roots,Source for the Tracing the Roots feature-packet route.,route-source-label,metadata_verified; full-text L3 pending,pass_context_inventory,feature-packet support only; not raw image-level admitted evidence.
CCA-031,701,Negative and Support Evidence,jeon2026mofit,score-like text files as a support boundary check,Source for MoFit method identity; the public-score-file check is local support-only evidence.,support-only-boundary-source,metadata_verified; full-text L3 pending,pass_context_inventory,MoFit citation supports method identity only; support-only public score-file check with all admission gates non-Pass in this packet.
